driverId,position,time,number,Season,Round
tsunoda,14,140.548,3,2021,2
mick_schumacher,15,140.07999999999998,3,2021,2
alonso,16,139.978,3,2021,2
mazepin,17,138.071,3,2021,2
ocon,18,137.933,3,2021,2
vettel,19,142.98,3,2021,2
max_verstappen,1,140.332,4,2021,2
hamilton,2,141.66,4,2021,2
leclerc,3,142.84,4,2021,2
perez,4,142.893,4,2021,2
ricciardo,5,144.931,4,2021,2
gasly,6,144.697,4,2021,2
stroll,7,143.912,4,2021,2
sainz,8,146.446,4,2021,2
norris,9,147.079,4,2021,2
bottas,10,145.912,4,2021,2
russell,11,146.172,4,2021,2
raikkonen,12,146.822,4,2021,2
giovinazzi,13,146.814,4,2021,2
tsunoda,14,146.7,4,2021,2
alonso,15,145.54,4,2021,2
mazepin,16,142.477,4,2021,2
ocon,17,142.503,4,2021,2
vettel,18,145.242,4,2021,2
mick_schumacher,19,163.64600000000002,4,2021,2
max_verstappen,1,145.691,5,2021,2
hamilton,2,145.14600000000002,5,2021,2
leclerc,3,145.489,5,2021,2
perez,4,145.257,5,2021,2
ricciardo,5,144.261,5,2021,2
gasly,6,143.932,5,2021,2
stroll,7,143.822,5,2021,2
sainz,8,141.7,5,2021,2
norris,9,141.984,5,2021,2
bottas,10,143.93,5,2021,2
russell,11,143.405,5,2021,2
raikkonen,12,143.239,5,2021,2
giovinazzi,13,143.313,5,2021,2
tsunoda,14,143.251,5,2021,2
alonso,15,142.849,5,2021,2
mazepin,16,143.337,5,2021,2
ocon,17,143.527,5,2021,2
vettel,18,142.25,5,2021,2
mick_schumacher,19,145.633,5,2021,2
max_verstappen,1,140.804,6,2021,2
hamilton,2,138.618,6,2021,2
leclerc,3,136.873,6,2021,2
perez,4,136.344,6,2021,2
ricciardo,5,134.861,6,2021,2
bottas,1,84.937,1,2021,3
hamilton,2,85.806,1,2021,3
max_verstappen,3,86.70400000000001,1,2021,3
sainz,4,88.4,1,2021,3
perez,5,89.236,1,2021,3
norris,6,89.67099999999999,1,2021,3
ocon,7,90.419,1,2021,3
leclerc,8,90.736,1,2021,3
gasly,9,91.557,1,2021,3
vettel,10,91.907,1,2021,3
russell,11,92.993,1,2021,3
giovinazzi,12,93.594,1,2021,3
raikkonen,13,93.673,1,2021,3
ricciardo,14,94.197,1,2021,3
alonso,15,94.25399999999999,1,2021,3
tsunoda,16,94.845,1,2021,3
stroll,17,95.093,1,2021,3
latifi,18,95.54599999999999,1,2021,3
mick_schumacher,19,96.319,1,2021,3
mazepin,20,96.628,1,2021,3
bottas,1,106.875,2,2021,3
hamilton,2,108.207,2,2021,3
max_verstappen,3,108.275,2,2021,3
sainz,4,108.928,2,2021,3
perez,5,109.102,2,2021,3
norris,6,110.559,2,2021,3
ocon,7,111.644,2,2021,3
leclerc,8,112.693,2,2021,3
gasly,9,113.555,2,2021,3
vettel,10,115.328,2,2021,3
russell,11,115.043,2,2021,3
giovinazzi,12,116.382,2,2021,3
ricciardo,13,117.399,2,2021,3
alonso,14,121.115,2,2021,3
tsunoda,15,122.598,2,2021,3
stroll,16,123.386,2,2021,3
latifi,17,124.268,2,2021,3
mick_schumacher,18,124.418,2,2021,3
mazepin,19,125.966,2,2021,3
bottas,1,142.684,3,2021,3
hamilton,2,142.624,3,2021,3
max_verstappen,3,142.886,3,2021,3
sainz,4,141.456,3,2021,3
perez,5,141.727,3,2021,3
norris,6,140.721,3,2021,3
ocon,7,140.679,3,2021,3
leclerc,8,141.183,3,2021,3
gasly,9,141.094,3,2021,3
vettel,10,141.344,3,2021,3
russell,11,141.091,3,2021,3
giovinazzi,12,140.5,3,2021,3
ricciardo,13,140.615,3,2021,3
alonso,14,138.877,3,2021,3
tsunoda,15,138.773,3,2021,3
stroll,16,139.14600000000002,3,2021,3
latifi,17,139.257,3,2021,3
mick_schumacher,18,139.654,3,2021,3
mazepin,19,139.735,3,2021,3
bottas,1,135.331,4,2021,3
hamilton,2,135.225,4,2021,3
max_verstappen,3,135.089,4,2021,3
sainz,4,135.694,4,2021,3
perez,5,135.249,4,2021,3
norris,6,136.431,4,2021,3
ocon,7,135.969,4,2021,3
leclerc,8,135.461,4,2021,3
gasly,9,135.417,4,2021,3
vettel,10,134.734,4,2021,3
russell,11,136.21,4,2021,3
giovinazzi,12,136.084,4,2021,3
ricciardo,13,135.357,4,2021,3
alonso,14,134.695,4,2021,3
tsunoda,15,134.118,4,2021,3
stroll,16,134.788,4,2021,3
latifi,17,134.617,4,2021,3
mick_schumacher,18,134.524,4,2021,3
mazepin,19,134.713,4,2021,3
bottas,1,121.394,5,2021,3
hamilton,2,120.71,5,2021,3
